,3,5,6,8,9,10,12,14,15,21,22,mean_importance,rank_global
ch7-lowgamma-hjact,0.0,0.009562355,0.00865181,0.21879901,0.040404376,0.026345236,0.106122635,0.0064980434,0.044872403,0.02412145,0.0,0.04412521,77.0
ch17-theta-skew,0.12283312,0.024906684,0.0,0.0043043313,0.0,0.0,0.20912059,0.01945157,0.059321582,0.024737759,0.015966477,0.043694735,78.0
ch18-delta-relpow,0.03254861,0.0071109543,0.12603983,0.031179428,0.0,0.0,0.27402464,0.0,0.0,0.0,0.0069448836,0.04344076,79.0
ch9-beta-hjact,0.29929927,0.0,0.0,0.0,0.0,0.044124547,0.0,0.08124583,0.04795243,0.0,0.005032407,0.04342314,80.0
ch9-lowgamma-hjmob,0.0,0.043979246,0.13033357,0.011832012,0.011282794,0.0,0.0,0.09203891,0.050806973,0.06537111,0.0704268,0.043279216,81.0
ch14-alpha-relpow,0.023970122,0.0,0.0,0.0,0.0,0.0,0.24882352,0.0040725307,0.088251516,0.009141597,0.09717382,0.042857554,82.0
ch6-theta-kurt,0.009957305,0.008841705,0.0,0.09154425,0.0,0.24727994,0.008032149,0.036854945,0.016809862,0.051529005,0.0,0.04280447,83.0
ch12-theta-kurt,0.0,0.0,0.0,0.024084147,0.040178567,0.04987351,0.001985602,0.032749444,0.19602764,0.10325985,0.022305708,0.042769495,84.0
ch18-alpha-skew,0.0048163417,0.0043487535,0.008778403,0.0,0.020296259,0.34484056,0.0028169446,0.012774359,0.0,0.069908224,0.0,0.042598166,85.0
ch7-sigma-skew,0.0,0.066585064,0.0,0.16443104,0.013878822,0.0040997085,0.004681449,0.089464,0.029357344,0.0,0.08850652,0.041909453,86.0
ch4-lowgamma-peaktopeak,0.022805922,0.039518047,0.0786382,0.0,0.019772785,0.1200581,0.008706331,0.1155183,0.018257992,0.0007728245,0.035993934,0.041822042,87.0
ch3-beta-hjcomp,0.0,0.04086742,0.030600693,0.0,0.0,0.22597328,0.0075430097,0.0,0.13160883,0.01654498,0.006735386,0.04180669,88.0
ch12-lowgamma-de,0.026878985,0.029172815,0.25048563,0.02906117,0.04937204,0.0031886164,0.0,0.008180211,0.022187987,0.0050359303,0.035225056,0.041708037,89.0
ch16-lowgamma-relpow,0.03603826,0.033664692,0.0,0.0,0.04950905,0.31569892,0.008932365,0.0036898616,0.0,0.0,0.0061094956,0.04124024,90.0
ch8-theta-kurt,0.0,0.024227586,0.007540104,0.13221537,0.07046335,0.058403313,0.0,0.10273819,0.02975409,0.017050106,0.010954247,0.041213308,91.0
ch14-lowgamma-relpow,0.08758777,0.08215204,0.09440319,0.0,0.023669899,0.0,0.01293102,0.0,0.03906066,0.0065438575,0.10445863,0.04098246,92.0
ch1-lowgamma-kurt,0.0,0.05069124,0.024258694,0.0,0.09514371,0.12937276,0.0,0.0,0.0,0.0,0.14894554,0.040764723,93.0
ch12-theta-skew,0.0,0.05789639,0.09553693,0.19568458,0.010060073,0.009376228,0.019628346,0.0,0.020543644,0.0,0.032004837,0.040066455,94.0
ch10-delta-skew,0.0,0.015757157,0.0,0.061294153,0.033534154,0.2088391,0.084291,0.007119028,0.007762533,0.013725373,0.004079636,0.039672922,95.0
ch18-beta-relpow,0.021002702,0.0,0.0,0.069124855,0.0,0.038961396,0.29281977,0.008011335,0.004409035,0.0,0.0,0.039484467,96.0
ch10-theta-kurt,0.004608933,0.056388106,0.0,0.011388082,0.17444663,0.0,0.006710725,0.0,0.1684278,0.0,0.010614211,0.039325863,97.0
ch14-lowgamma-peaktopeak,0.059236646,0.01411194,0.049573507,0.0,0.00824643,0.0,0.1781356,0.044211674,0.013646301,0.027155345,0.026328553,0.03824055,98.0
ch3-theta-skew,0.0050491313,0.007216647,0.0,0.010220179,0.017333664,0.15019283,0.13519993,0.0,0.0,0.0,0.094455406,0.038151618,99.0
ch7-theta-skew,0.0,0.005317183,0.007620738,0.035797752,0.005978476,0.0,0.06212682,0.030704886,0.10640995,0.16356602,0.0,0.037956532,100.0
ch2-lowgamma-hjcomp,0.040753566,0.012546255,0.0,0.022550413,0.05737049,0.061563894,0.0,0.06214637,0.046580017,0.0,0.1100918,0.037600257,101.0
ch15-theta-kurt,0.0028039757,0.025196807,0.0,0.004322081,0.017355116,0.09822838,0.162715,0.01476934,0.011127408,0.07308225,0.0029232418,0.037502147,102.0
ch4-sigma-kurt,0.06657628,0.10555525,0.0,0.026647635,0.0,0.006305424,0.0,0.045303408,0.03213607,0.1204021,0.007934215,0.037350945,103.0
ch10-beta-psd,0.0,0.008913909,0.0,0.08900157,0.0,0.0,0.0,0.0,0.081294805,0.07562427,0.15355696,0.037126504,104.0
ch8-sigma-relpow,0.0,0.0,0.007851581,0.0,0.1989886,0.120745465,0.0,0.0,0.0054778634,0.05999119,0.009753057,0.036618885,105.0
ch7-alpha-hjmob,0.015462568,0.00960581,0.014747782,0.0,0.0071127503,0.021835152,0.10420035,0.08116245,0.027568966,0.023206849,0.096486785,0.03648995,106.0
ch14-alpha-hjmob,0.0,0.0021990621,0.09870614,0.014159182,0.004234427,0.009118343,0.007698572,0.038029965,0.0,0.13440737,0.08601254,0.0358696,107.0
ch14-lowgamma-de,0.022273006,0.10489925,0.017564422,0.029936804,0.010888357,0.006744595,0.020794833,0.036650196,0.13955104,0.0,0.0049324865,0.035839543,108.0
ch8-lowgamma-peaktopeak,0.0,0.010383625,0.0,0.009112169,0.0,0.05095261,0.006575281,0.069583304,0.18223329,0.03246498,0.03181064,0.03573781,109.0
ch8-lowgamma-skew,0.01923434,0.07596028,0.17151977,0.003967155,0.0037735598,0.0077740885,0.0076371906,0.021881344,0.041336738,0.0055357423,0.03370338,0.035665784,110.0
ch7-beta-psd,0.0,0.29148707,0.027414571,0.017034095,0.0065639284,0.0028436377,0.0,0.029255364,0.015189344,0.0,0.0,0.035435274,111.0
ch8-lowgamma-de,0.0,0.07354028,0.02153442,0.0064116605,0.0,0.0,0.004979869,0.046087395,0.08297643,0.05320331,0.096958406,0.035062887,112.0
ch16-sigma-skew,0.061329465,0.02184574,0.125425,0.12466127,0.0,0.0,0.014944717,0.022543218,0.0,0.01305737,0.0,0.034891523,113.0
ch6-lowgamma-de,0.0,0.0,0.0,0.17667644,0.010101006,0.16448262,0.0,0.010457194,0.015723325,0.0,0.004399316,0.034712717,114.0
ch12-lowgamma-kurt,0.109893546,0.007831366,0.0,0.039588895,0.009186589,0.0046152934,0.11710446,0.030192047,0.0408549,0.022476722,0.0,0.034703985,115.0
ch1-theta-skew,0.17420961,0.002892755,0.0071515697,0.0558995,0.0,0.0,0.12966837,0.0,0.0048356764,0.0036638982,0.0,0.03439285,116.0
ch12-beta-skew,0.010051127,0.0,0.00866698,0.008795079,0.106111296,0.004064907,0.04902489,0.029178156,0.14159444,0.0,0.017195435,0.034062028,117.0
ch15-lowgamma-relpow,0.20171872,0.01702882,0.0,0.0,0.0048706247,0.039900687,0.0,0.04209376,0.0,0.0,0.059560355,0.03319754,118.0
ch2-lowgamma-de,0.0018825617,0.1701039,0.022172788,0.07148779,0.0,0.018641984,0.0,0.0,0.013435247,0.06531926,0.0,0.03300396,119.0
ch16-theta-kurt,0.011856882,0.02031129,0.0,0.11907689,0.0673528,0.030281061,0.0071811606,0.0,0.0,0.08019263,0.024194496,0.03276793,120.0
ch3-delta-skew,0.009392132,0.014893003,0.033145003,0.0048280265,0.0,0.019579269,0.0039540143,0.02955112,0.052022222,0.07382419,0.11018787,0.031943347,121.0
ch4-lowgamma-kurt,0.0,0.0,0.03897147,0.0,0.017681316,0.0042339354,0.019875377,0.23742367,0.0,0.0,0.031121518,0.03175521,122.0
ch11-lowgamma-hjmob,0.023286408,0.07074604,0.0,0.0,0.018861344,0.019612258,0.081543945,0.0076410165,0.007581596,0.11874206,0.0,0.031637695,123.0
ch9-theta-kurt,0.005978642,0.0,0.07945731,0.01144094,0.0,0.07633311,0.02549423,0.008332214,0.08472113,0.037092697,0.016859924,0.0314282,124.0
ch7-lowgamma-relpow,0.008419679,0.02018187,0.005067382,0.0073782443,0.016123135,0.010923739,0.08874244,0.008967412,0.003054922,0.0036520064,0.17292818,0.031403545,125.0
ch1-theta-hjcomp,0.003318921,0.08492784,0.0,0.0408109,0.003551666,0.041356985,0.012011038,0.017886233,0.06453774,0.0,0.07659436,0.031363245,126.0
ch10-beta-hjcomp,0.016145889,0.0,0.042907313,0.05940449,0.1564715,0.0038667568,0.0,0.0,0.04868703,0.0,0.016313627,0.031254236,127.0
ch1-beta-relpow,0.039882883,0.006714092,0.07410502,0.011494595,0.0038748248,0.013410733,0.007609336,0.015286929,0.10135298,0.038277615,0.029195487,0.03101859,128.0
ch18-alpha-hjmob,0.007898474,0.0,0.0,0.0,0.0037596463,0.015559037,0.008695585,0.025191344,0.16104306,0.073204406,0.045166828,0.030956216,129.0
ch2-alpha-hjmob,0.010693745,0.04275753,0.013813864,0.0,0.0,0.16129024,0.027352886,0.0,0.03019091,0.029670967,0.024368865,0.030921727,130.0
ch3-lowgamma-relpow,0.09061932,0.008729478,0.022308966,0.0,0.007453095,0.03614529,0.07119588,0.011590436,0.008271196,0.082184486,0.0,0.03077256,131.0
ch8-lowgamma-kurt,0.07747937,0.0120583605,0.010471215,0.0,0.082476914,0.00884977,0.0,0.030037552,0.08820999,0.013495123,0.014991936,0.030733658,132.0
ch9-lowgamma-de,0.0025984112,0.007914078,0.0076687047,0.12643556,0.016128488,0.06326261,0.0,0.006085967,0.017770639,0.0,0.088775635,0.030603642,133.0
ch6-lowgamma-hjmob,0.0,0.0,0.023412326,0.18071885,0.025075126,0.018083561,0.023463408,0.0,0.0,0.05111116,0.014775551,0.030603634,134.0
ch7-theta-hjcomp,0.0,0.04630446,0.033641834,0.0,0.05490369,0.042505838,0.0065081534,0.032328032,0.077487804,0.004984919,0.035211068,0.030352343,135.0
ch17-theta-kurt,0.0063703456,0.0,0.02974921,0.13912407,0.033549547,0.0,0.012338267,0.058712322,0.036779154,0.0048289904,0.009012203,0.03004219,136.0
ch9-beta-skew,0.21925184,0.07428891,0.0,0.0,0.010213389,0.0043426324,0.015265638,0.0,0.0042151404,0.0,0.0019734239,0.02995918,137.0
ch2-lowgamma-peaktopeak,0.0,0.050498012,0.0,0.0,0.2402401,0.0067154807,0.007525127,0.0,0.023805972,0.0,0.0,0.029889517,138.0
ch11-lowgamma-kurt,0.008839576,0.026811136,0.010716099,0.0417802,0.19382726,0.013294748,0.017455507,0.0,0.00841956,0.0,0.0075546517,0.029881705,139.0
ch17-sigma-kurt,0.0074951756,0.0026183436,0.0,0.1723552,0.0,0.0,0.0076428102,0.00799959,0.0064262208,0.0030074555,0.119382754,0.029720686,140.0
ch5-beta-skew,0.010823406,0.0,0.010373226,0.005456245,0.046392534,0.04490157,0.02340795,0.0,0.01958138,0.0,0.16098268,0.029265363,141.0
ch5-lowgamma-peaktopeak,0.0,0.0490192,0.009317145,0.015312602,0.13478556,0.047925126,0.064934835,0.0,0.0,0.0,0.0,0.02920859,142.0
ch3-beta-kurt,0.0,0.21732794,0.0,0.0,0.026909204,0.0058160033,0.0,0.0590171,0.00473235,0.0,0.007162363,0.02917863,143.0
ch16-beta-kurt,0.020386824,0.0055052657,0.090852864,0.0,0.042102106,0.03177554,0.012634735,0.033429343,0.05260368,0.021128766,0.009406294,0.02907504,144.0
ch7-delta-skew,0.012529306,0.031067098,0.0,0.061564166,0.012156514,0.0,0.013189786,0.0,0.11227735,0.070119746,0.006242885,0.029013349,145.0
ch9-lowgamma-hjcomp,0.20243078,0.0,0.0,0.012685078,0.0,0.012468888,0.037917536,0.009948901,0.022071568,0.005250836,0.016176369,0.028995452,146.0
ch9-alpha-skew,0.08200531,0.12105723,0.0,0.0,0.0,0.0,0.028537279,0.03977545,0.044410877,0.0,0.0029206323,0.028973343,147.0
ch16-theta-skew,0.07524942,0.017636413,0.04550716,0.015615126,0.0,0.016716756,0.031864487,0.017285474,0.072941646,0.0,0.025090389,0.028900623,148.0
ch13-theta-psd,0.023768047,0.088268936,0.0,0.0,0.12471582,0.017010184,0.014903829,0.0,0.012406521,0.028499922,0.0076888767,0.028842015,149.0
ch5-sigma-relpow,0.0,0.13314846,0.0,0.055120934,0.048728246,0.0,0.046166692,0.017859133,0.0,0.0,0.01476044,0.028707625,150.0
ch7-beta-hjmob,0.0,0.0,0.0,0.026697092,0.22896303,0.0076561808,0.0068499288,0.016892215,0.014069591,0.0037158004,0.010871244,0.02870137,151.0
ch16-lowgamma-hjcomp,0.009969968,0.0,0.008028233,0.07302629,0.030469693,0.11043068,0.031137863,0.045611385,0.0,0.0,0.0056054,0.028570862,152.0
ch10-beta-peaktopeak,0.0050219763,0.0,0.019356227,0.0,0.0,0.0,0.0,0.0032436159,0.0,0.21507055,0.0701179,0.028437298,153.0
ch5-lowgamma-de,0.046638962,0.052720718,0.009145538,0.05706277,0.06903635,0.021305908,0.0035078807,0.03113754,0.020899555,0.0,0.0,0.028314112,154.0
ch16-beta-hjmob,0.0,0.03560311,0.08328479,0.029141417,0.01587451,0.0,0.0,0.0031377776,0.0,0.14318646,0.0,0.02820255,155.0
ch17-alpha-hjmob,0.045332458,0.03055443,0.0,0.025015729,0.0,0.036179896,0.0,0.0,0.0,0.15910873,0.013482553,0.028152162,156.0
ch15-alpha-skew,0.18115562,0.011225243,0.0,0.008235211,0.00839083,0.0,0.041370597,0.027894426,0.010931258,0.014823969,0.0,0.027638834,157.0
ch12-alpha-skew,0.0,0.0,0.0,0.17407389,0.018016191,0.0,0.0,0.006235468,0.014236188,0.015781136,0.07377161,0.027464954,158.0
ch14-lowgamma-kurt,0.015666416,0.0,0.009672135,0.034186874,0.051103234,0.0,0.06748881,0.0022104892,0.041263442,0.03912983,0.041115746,0.027439725,159.0
ch2-lowgamma-relpow,0.0,0.0018213228,0.0,0.0,0.0,0.0,0.0059187403,0.0,0.0023537287,0.0,0.28931907,0.02721935,160.0
ch12-beta-peaktopeak,0.0,0.0,0.009490129,0.0,0.0,0.009421377,0.0,0.024169235,0.16392046,0.069470175,0.019979721,0.026950099,161.0
ch11-delta-relpow,0.0,0.0,0.047689237,0.0,0.009410058,0.17744938,0.0,0.0564099,0.0,0.0038145168,0.0,0.026797555,162.0
ch12-delta-relpow,0.065023676,0.09174861,0.0017998867,0.0,0.040221006,0.019877428,0.012245855,0.0,0.042505976,0.01916935,0.0,0.026599253,163.0
ch13-sigma-skew,0.020311672,0.028576942,0.02259145,0.0086382,0.0,0.0,0.0726629,0.107529424,0.026301183,0.0,0.004955629,0.026506126,164.0
ch11-alpha-relpow,0.045258068,0.0,0.0,0.13829371,0.006254667,0.0,0.10161998,0.0,0.0,0.0,0.0,0.026493313,165.0
ch14-sigma-kurt,0.0045967745,0.019724889,0.0,0.0044571697,0.08947003,0.0,0.015188023,0.15444565,0.0,0.0,0.003525627,0.02649165,166.0
